,Codigo,Nombre,Unidad,CodigobyCodigo,TitlebyCodigo
12018,GT-0009-M,GUANTE ANTICORTE CON RECUBRIMIENTO DE NITRILO M,DOC,GT-0009-M,GUANTE ANTICORTE CON RECUBRIMIENTO DE NITRILO M
12017,GT-0009-L,GUANTE ANTICORTE CON RECUBRIMIENTO DE NITRILO L,DOC,GT-0009-L,GUANTE ANTICORTE CON RECUBRIMIENTO DE NITRILO L
10479,GT-0055-XL,GUANTE ANTICORTE CON POLIURETANO XL,PAR,GT-0005-XL,GUANTE ANTICORTE AD CON POLIURETANO XL
43,GT-0005-S,GUANTE ANTICORTE CON POLIURETANO S,DOC,GT-0005-S,GUANTE ANTICORTE CON POLIURETANO S
42,GT-0005-M,GUANTE ANTICORTE CON POLIURETANO M,DOC,GT-0005-M,GUANTE ANTICORTE CON POLIURETANO M
248,GT-0005-L,GUANTE ANTICORTE CON POLIURETANO L,DOC,GT-0005-L,GUANTE ANTICORTE CON POLIURETANO L
582,GT-0005-XS,GUANTE ANTICORTE AD CON POLIURETANO XS,DOC,GT-0005-XS,GUANTE ANTICORTE AD CON POLIURETANO XS
336,GT-0005-XL,GUANTE ANTICORTE AD CON POLIURETANO XL,DOC,GT-0005-XL,GUANTE ANTICORTE AD CON POLIURETANO XL
389,58 SPO,GRAPA PARA FLEJE POLIESTER SEMI ABIERTO DENTADO 5/8 C/1000,CAJ,58 SPO,GRAPA PARA FLEJE POLIESTER SEMI ABIERTO DENTADO 5/8 C/1000
9509,34 AA TRAS COR,GRAPA PARA FLEJE METALICO 3/4 TRASLAPADO CORTO C/1000 PC,CAJ,34 AA TRAS COR,GRAPA PARA FLEJE METALICO 3/4 TRASLAPADO CORTO C/1000 PC
10904,34 AA TRAS.,GRAPA PARA FLEJE METALICO 3/4 TRASLAPADO C/1000 PC,CAJ,34 AA TRAS.,GRAPA PARA FLEJE METALICO 3/4 TRASLAPADO C/1000 PC
275,34 AA,GRAPA PARA FLEJE METALICO 3/4 AA C/1000,CAJ,34 AA,GRAPA PARA FLEJE METALICO 3/4 AA C/1000
149,12 AA,GRAPA PARA FLEJE METALICO 1/2 AA C/1000,CAJ,12 AA,GRAPA PARA FLEJE METALICO 1/2 AA C/1000
10897,1 1/4 SAT,GRAPA PARA FLEJE METALICO 1 1/4 SAT C/1000,CAJ,1 1/4 SAT,GRAPA PARA FLEJE METALICO 1 1/4 SAT C/1000
625,12 CP-24,GRAPA PARA FLEJE DE POLIPRO. SEMI ABIERTO LISO 1/2 C/1000,CAJ,12 CP-24,GRAPA PARA FLEJE DE POLIPRO. SEMI ABIERTO LISO 1/2 C/1000
7991,12 CPA LAR,GRAPA PARA FLEJE DE POLIPRO. SEMI ABIERTO 1/2X1.25 C/1000,CAJ,12 CPA LAR,GRAPA PARA FLEJE DE POLIPRO. SEMI ABIERTO 1/2X1.25 C/1000
7992,12 CPO PUN,GRAPA PARA FLEJE DE POLIPRO 1/2X1.25 CON PUNTO C/1000,CAJ,12 CPO PUN,GRAPA PARA FLEJE DE POLIPRO 1/2X1.25 CON PUNTO C/1000
948,C-58,GRAPA PARA CARTON 1-1/4X 5/8LARGO C/20000 PIEZAS,CAJ,C-58,GRAPA PARA CARTON 1-1/4  X 5/8  LARGO C/20000 PIEZAS
4369,12 AA-SAT-24,GRAPA PAR FLEJE METALICO 1/2 SAT CAL.24 C/1000,CAJ,12 AA-SAT-24,GRAPA PAR FLEJE METALICO 1/2 SAT CAL.24 C/1000
4546,LT0002-ROS,GORRO ANTIESTATICO ROSA,PZA,LT0002-ROS,GORRO ANTIESTATICO ROSA
2339,LT0002-BL,GORRO ANTIESTATICO BLANCO,PZA,LT0002-BL,GORRO ANTIESTATICO BLANCO
4544,LT0002-AM,GORRO ANTIESTATICO AZUL MARINO,PZA,LT0002-AM,GORRO ANTIESTATICO AZUL MARINO
4543,LT0002-AC,GORRO ANTIESTATICO AZUL CIELO,PZA,LT0002-AC,GORRO ANTIESTATICO AZUL CIELO
549,WAL-SOAPSTONE,GIS PARA MARCAR METAL C/144 PIEZAS,CAJ,WAL-SOAPSTONE,GIS PARA MARCAR METAL C/144 PIEZAS
165,LIMGEL01,GEL ANTIBACTERIAL BASE ALCOHOL 3.78 LTS,GAL,LIMGEL01,GEL ANTIBACTERIAL BASE ALCOHOL 3.78 LTS
6457,LIMGEL-04,GEL ANTIBACTERIAL 208 LTS,NaN,LIMGEL-04,GEL ANTIBACTERIAL 208 LTS
801,LIM114,GEL ANTI BACTERIAL 20 LTS,BID,LIM141,CEPILLO SEMIDURO 24 
364,654002,GASA VERDE 18mmx18M,PAQ,654002,GASA VERDE 18mmx18M
407,11913,GAS PROPANO DE 400 G AZUL,PZA,11913,GAS PROPANO DE 400 G AZUL
10947,14415,GABARDINA IMPERMEABLETALLA GRANDE PVC,PZA,11545,DISCO DESBASTE METAL TIPO27 DIAMETRO 7  ALTO RENDIMIENTO
3253,ST-30-608,FLEXOMETRO STANLY 3M,PZA,ST-30-608,FLEXOMETRO STANLY 3M
1277,14602,FLEXOMETRO GIPPER 2MTIPO LLAVERO,PZA,14602,FLEXOMETRO GIPPER 2MTIPO LLAVERO
1278,15387,FLEXOMETRO 3M GIPPER RESISTENTE A IMPACTO,PZA,15387,FLEXOMETRO 3M GIPPER RESISTENTE A IMPACTO
10723,FPOV-34,FLEJE POLIESTER VERDE LISO 3/4X0.050X732M 16X6,ROL,FPOV-34,FLEJE POLIESTER VERDE LISO 3/4X0.050X732M 16X6
7447,FPOV-12,FLEJE POLIESTER VERDE LISO 1/ 2X0.25X1771M CORE 16X6,ROL,FPOV-12,FLEJE POLIESTER VERDE LISO 1/ 2X0.25X1771M CORE 16X6
553,FPO-58V,FLEJE POLIESTER VERDE 5/8 CORE 16X6,ROL,FPO-58V,FLEJE POLIESTER VERDE 5/8 CORE 16X6
605,FM58,FLEJE METALICO 5/8 X 0.023,ROL,FM58,FLEJE METALICO 5/8 X 0.023
10912,FM 34X0.036,FLEJE METALICO 3/4X0.036,ROL,FM 34X0.036,FLEJE METALICO 3/4X0.036
8423,FM 34X0.025,FLEJE METALICO 3/4X0.025 HD,ROL,FM 34X0.025,FLEJE METALICO 3/4X0.025 HD
151,FM34,FLEJE METALICO 3/4 X 0.023,ROL,FM34,FLEJE METALICO 3/4 X 0.023
8237,FM12K,FLEJE METALICO 1/2X0.023 KILEADO,KG,FM12K,FLEJE METALICO 1/2X0.023 KILEADO
380,FM12,FLEJE METALICO 1/2 X 0.023,ROL,FM12,FLEJE METALICO 1/2 X 0.023
6014,FP5/8,FLEJE DE POLIPROPILENO NEGRO 5/8,ROL,FP5/8,FLEJE DE POLIPROPILENO NEGRO 5/8
44,HP-12BLK72-R600,FLEJE DE POLIPROPILENO NEGRO 1/2 X 7200 FT CORE 16X6 R.600,ROL,HP-12BLK72-R600,FLEJE DE POLIPROPILENO NEGRO 1/2 X 7200 FT CORE 16X6 R.600
7517,HP-12BLK72-R300,FLEJE DE POLIPROPILENO NEGRO 1/2 X 7200 FT CORE 16X6 R.300,ROL,HP-12BLK72-R300,FLEJE DE POLIPROPILENO NEGRO 1/2 X 7200 FT CORE 16X6 R.300
10587,HP-3/8BLK,FLEJE DE POLIPROPILENO BLANCO 3/8X0.24X4000 MTS CORE 8X8,ROL,HP-3/8BLK,FLEJE DE POLIPROPILENO BLANCO 3/8X0.24X4000 MTS CORE 8X8
1449,JP20060-12W72,FLEJE DE POLIPROPILENO 1/2 X 7200 FT CENTRO 8X8 BLANCO,ROL,JP20060-12W72,FLEJE DE POLIPROPILENO 1/2 X 7200 FT CENTRO 8X8 BLANCO
339,HP20060-12BLK72,FLEJE DE POLIPROPILENO 1/2 X 6562 FT CORE 8X8 NEGRO,ROL,HP20060-12BLK72,FLEJE DE POLIPROPILENO 1/2 X 6562 FT CORE 8X8 NEGRO
170,SF3801000W,FLEJE DE 3 X1000 CAL 80 C/18 ROLLOS,CAJ,SF3801000W,FLEJE DE 3 X1000 CAL 80 C/18 ROLLOS
301,3M 2097,FILTRO PARA PARTICULAS P100 ROSA 3M 2097,PAR,3M 2097,FILTRO PARA PARTICULAS P100 ROSA 3M 2097
204,3M P94,FIBRA VERDE CON ESPONGA 3M P94,PZA,3M P94,FIBRA VERDE CON ESPONGA 3M P94
679,PM 96,FIBRA VERDE 15x20 cm,PZA,PM 96,FIBRA VERDE 15x20 cm
504,3M P96,FIBRA VERDE 1/2 CARTA P96 3M,PZA,3M P96,FIBRA VERDE 1/2 CARTA P96 3M
6904,FIB-NG,FIBRA NEGRA 6X9 PULGADAS,PZA,FIB-NG,FIBRA NEGRA 6X9 PULGADAS
4518,JYR-8253XL-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA XXXL,PZA,JYR-8253XL-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA XXXL
7,JYR-8252XL-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA XXL,PZA,JYR-8253XL-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA XXXL
11,JYR-825XL-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA XL,PZA,JYR-8253XL-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA XXXL
10,JYR-825S-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA S,PZA,JYR-825S-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA S
9,JYR-825M-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA M,PZA,JYR-825M-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA M
8,JYR-825L-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA L,PZA,JYR-825L-3C,FAJA DE SEGURIDAD CON 3ER CINTO JYRSA L
254,14237,FAJA CON TIRANTES AJUSTABLESTALLA MEDIANA,PZA,17423,PINZA DE PRESION MORDURA CURVA
6891,48051,EXTENSION DE USO RUDO 30M,PZA,48051,EXTENSION DE USO RUDO 30M
354,16969,EXACTO PROFESIONAL EXA-6,PZA,16969,EXACTO PROFESIONAL EXA-6
5303,ET30X6 G,ETIQUETA GRIS 0030X006MM R/5000 PZ,ROL,ET30X6 G,ETIQUETA GRIS 0030X006MM R/5000 PZ
11681,ET - N,ETIQUETA FIFO NEGRA NOV R/1000 PZ,ROL,ET - N,ETIQUETA FIFO NEGRA NOV R/1000 PZ
11568,ET - B,ETIQUETA FIFO BLANCO DIC R/1000 PZ,ROL,ET - B,ETIQUETA FIFO BLANCO DIC R/1000 PZ
9239,ET0.39X016,ETIQUETA BLANCA FOZZON 39X16MM R/4000PZ,ROL,ET0.39XX016,ETIQUETA BLANCA FOZZON 0.39x0.16mm R/4000 PZ
6180,ET0.39XX016,ETIQUETA BLANCA FOZZON 0.39x0.16mm R/4000 PZ,PZA,ET0.39XX016,ETIQUETA BLANCA FOZZON 0.39x0.16mm R/4000 PZ
11575,ET8X22MM 9 P,ETIQUETA BLANCA 8X22MM 9 AL PASO R/50 000,PZA,ET8X22MM 9 P,ETIQUETA BLANCA 8X22MM 9 AL PASO R/50 000
9244,ETTTT4X2P,ETIQUETA BLANCA 4X2 PULG R/1000 PZ,PZA,ETTTT4X2P,ETIQUETA BLANCA 4X2 PULG R/1000 PZ
11572,ET25X05 3 P,ETIQUETA BLANCA 25X05MM 3 AL PASO R/50 000 PZ,PZA,ET25X05 3 P,ETIQUETA BLANCA 25X05MM 3 AL PASO R/50 000 PZ
5301,ET25X05 1P,ETIQUETA BLANCA 25X05MM 1 AL PASO,PZA,ET25X05 1P,ETIQUETA BLANCA 25X05MM 1 AL PASO
5300,ET20X51,ETIQUETA BLANCA 20X51MM R/5000 PZ,PZA,ET20X51,ETIQUETA BLANCA 20X51MM R/5000 PZ
5302,ET30X6 A,ETIQUETA AZUL 030X006MM R/5000 PZ,ROL,ZZET30X6 A,ETIQUETA AZUL 030X006MM R/5000 PZ
9243,ET4X2 P,ETIQUETA 4X2 PULGADAS R/1700 PZ,ROL,ET4X2 P,ETIQUETA 4X2 PULGADAS R/1700 PZ
683,57001,ESTOPA 1KG,KG,57001,ESTOPA 1KG
2248,EC3X3X39.5-180,ESQUINERO CAFE 3X3X39.5 CAL.180,PZA,EC3X3X39.5-180,ESQUINERO CAFE 3X3X39.5 CAL.180
333,EC3X3X37.75-200,ESQUINERO CAFE 3X3X37.75 CAL.200,PZA,EC3X3X37.75-200,ESQUINERO CAFE 3X3X37.75 CAL.200
3215,EC3X3X43-180,ESQUINERO CAFE 3 X3X 43 CAL. 180,PZA,EC3X3X43-180,ESQUINERO CAFE 3 X3  X 43 CAL. 180
3051,EC2X2X96-90,ESQUINERO CAFE 2X2X96 CAL.90,PZA,EC2X2X96-90EC2X2X96-200,ESQUINERO CAFE 2X2X96 - CAL.200
3050,EC2X2X96-110,ESQUINERO CAFE 2X2X96 CAL.110,PZA,EC2X2X96-110,ESQUINERO CAFE 2X2X96 CAL.110
4729,EC2X2X96-90EC2X2X96-200,ESQUINERO CAFE 2X2X96 - CAL.200,PZA,EC2X2X96-90EC2X2X96-200,ESQUINERO CAFE 2X2X96 - CAL.200
4953,EC2X2X72-160,ESQUINERO CAFE 2X2X72 CAL.160,PZA,EC2X2X72-160,ESQUINERO CAFE 2X2X72 CAL.160
7557,EC2X2X72-120,ESQUINERO CAFE 2 X2 X72 CAL. 120,PZA,EC2X2X72-120,ESQUINERO CAFE 2 X2 X72 CAL. 120
4727,EC1.5X1.5X96-200,ESQUINERO CAFE 1.5X1.5X96CAL.200,PZA,EC1.5X1.5X96-200,ESQUINERO CAFE 1.5X1.5X96  CAL.200
5299,EC1.5X1.5X72-120,ESQUINERO CAFE 1.5X1.5X72 CAL.120,PZA,EC1.5X1.5X72-120,ESQUINERO CAFE 1.5X1.5X72 CAL.120
331,EB3X3X47-200,ESQUINERO BLANCO 3X3X47 CAL.200,PZA,EB3X3X47-200,ESQUINERO BLANCO 3X3X47 CAL.200
330,EB3X3X45-200,ESQUINERO BLANCO 3X3X45CALIBRE 200,PZA,EB3X3X45-200,ESQUINERO BLANCO 3X3X45  CALIBRE 200
2245,EB3X3X41-200,ESQUINERO BLANCO 3X3X41 CAL.200,PZA,EB3X3X41-200,ESQUINERO BLANCO 3X3X41 CAL.200
329,EB3X3X36-200,ESQUINERO BLANCO 3X3X36 CAL.200,PZA,EB3X3X36-200,ESQUINERO BLANCO 3X3X36 CAL.200
107,EB2X2X72-120,ESQUINERO BLANCO 2 X2 X72 CAL. 120,PZA,EB2X2X72-120,ESQUINERO BLANCO 2 X2 X72 CAL. 120
10908,EB2X2-120,ESQUINERO 2X2,PZA,EB2X2X72-120,ESQUINERO BLANCO 2 X2 X72 CAL. 120
3379,14440,ESPATULA RIGIDA MANGO MADERA1,PZA,101104,MASKING TAPE 18MMX50M C/48 ROLLOS MARCA TUCK
4602,14449,ESPATULA FLEXIBLE MANGO DE MADERA DE 3,PZA,14449,ESPATULA FLEXIBLE MANGO DE MADERA DE 3 
8354,17873,ESLINGA DE 3 X6M,PZA,17873,ESLINGA DE 3 X6M
5084,14369,ESCUADRA DE CONBINACION 6,PZA,14369,ESCUADRA DE COMBINACION 6 
1397,14369,ESCUADRA DE COMBINACION 6,PZA,14369,ESCUADRA DE COMBINACION 6 
1398,14386,ESCUADRA DE CANTERO 8 X12,PZA,14386,ESCUADRA DE CANTERO 8 X12 
6903,ESCT-CAF,ESCRITORIO EJECUTIVO CAFE,PZA,ESCT-CAF,ESCRITORIO EJECUTIVO CAFE
6901,ESC-BLMS,ESCRITORIO BLANCO DE METAL,PZA,ESC-BLMS,ESCRITORIO BLANCO DE METAL
6902,ESC-OFFICE,ESCRITORIO BASICO OFFICE,PZA,ESC-OFFICE,ESCRITORIO BASICO OFFICE
587,LIM059,ESCOBA TIPO CEPILLO,PZA,LIM059,ESCOBA TIPO CEPILLO
2846,19788,ESCOBA PLASTICA RASTRILLO,PZA,19788,ESCOBA PLASTICA RASTRILLO
84,LIM060,ESCOBA ABANICO MEDIANA,PZA,LIM066,REPUESTO P/ MOPA 90 CM AZUL
292,LIM058,ESCOBA 1/2 ALMACEN MIXTA,PZA,LIM085,TRAPEADOR DE ALGODON JUMBO ROJO
6869,10337,ESCALERA TIPO TIJETA2.4m,PZA,10337,ESCALERA TIPO TIJETA 2.4m
958,SAB150-C,ENGRAPADORA NEUMATICA PARA GRAPA CARTONERA,PZA,SAB150-C,ENGRAPADORA NEUMATICA PARA GRAPA CARTONERA
6621,LIM138,DOLLY PARA BOTE REDONDO,PZA,LIM138,DOLLY PARA BOTE REDONDO
8780,FRB19,DISCO FELPA ROJA 19,PZA,FRB19,DISCO FELPA ROJA 19 
8779,FNEB19,DISCO FELPA NEGRA 19,PZA,FNEB19,DISCO FELPA NEGRA 19 
10526,11545,DISCO DESBASTE METAL TIPO27 DIAMETRO 7ALTO RENDIMIENTO,PZA,11545,DISCO DESBASTE METAL TIPO27 DIAMETRO 7  ALTO RENDIMIENTO
513,AUS-0561,DISCO DESBASTE 7X 1/4 X 7/8 HUM AUS -561,PZA,AUS-0561,DISCO DESBASTE (7X 1/4 X 7/8) HUM AUS -561
516,AUS-2716,DISCO DE LIJA G#40 4 1/2 X7/8 AUS-2716,PZA,AUS-2716,DISCO DE LIJA G#40 4 1/2 X7/8 AUS-2716
517,AUS-2730,DISCO DE LIJA 7 X 7/8 AUS 2730,PZA,AUS-2730,DISCO DE LIJA (7 X 7/8) AUS 2730
9483,LIM139,DISCO DE FELPA BLANCO 19,PZA,LIM139,DISCO DE FELPA BLANCO 19 
512,AUS-0560,DISCO DE DESBASTE 4 1/2 X 1/4 X 7/8 HUM AUS-0560,PZA,AUS-0560,DISCO DE DESBASTE (4 1/2 X 1/4 X 7/8) HUM AUS-0560
514,AUS-0567,DISCO CORTE METAL 7X 1/8 X 7/8 AUS 0567,PZA,AUS-0567,DISCO CORTE METAL 7X 1/8 X 7/8 AUS 0567
515,AUS-0786,DISCO CORTE METAL 4-1/2X1/16X7/8 AUS 786,PZA,AUS-0786,DISCO CORTE METAL 4-1/2X1/16X7/8 AUS 786
7174,11584,DICO CORTE EXTRAFINO DE METAL 4-1/2 ESPESOR 1.2MM,PZA,11584,DICO CORTE EXTRAFINO DE METAL 4-1/2 ESPESOR 1.2MM
3831,DET-10L,DETERGENTE LIQUIDO MAS COLOR 10L,GAR,DET-10L,DETERGENTE LIQUIDO MAS COLOR 10L
2449,LIM09,DESTAPACANOS LIQUIDO MR MUSCULO DE 946 MIL,PZA,LIM090,RECOGEDOR DE LAMINA GRANDE
100,TP-61010,DESPACHADOR PARA TOALLA EN ROLLO,PZA,TP-61010,DESPACHADOR PARA TOALLA EN ROLLO
3978,PR-52310,DESPACHADOR PARA PAPEL HIGIENICO 500 MTS KLEEMBO,PZA,PR-52310,DESPACHADOR PARA PAPEL HIGIENICO 500 MTS KLEEMBO
9022,94204,DESPACHADOR PARA PAPEL HIGIENICO 180 MTS,PZA,94204,DESPACHADOR PARA PAPEL HIGIENICO 180 MTS
776,FAPN-DES-JUM,DESPACHADOR PAPEL JUMBO HUMO FAPSA,PZA,FAPN-DES-JUM,DESPACHADOR PAPEL JUMBO HUMO FAPSA
9021,92260,DESPACHADOR DE TOALLA INTERDOBLADAHUMO,PZA,92260,DESPACHADOR DE TOALLA INTERDOBLADA HUMO
88,LIM133,DESPACHADOR DE TOALLA EN ROLLO AUTOMATICA,PZA,LIM133,DESPACHADOR DE TOALLA EN ROLLO AUTOMATICA
418,99T00TP-3,DESPACHADOR DE TAPE 3,PZA,99T00TP-3,DESPACHADOR DE TAPE 3
2047,99T00TP-2,DESPACHADOR DE TAPE 2,PZA,99T00TP-2,DESPACHADOR DE TAPE 2
161,DES-2020,DESINFECTANTE WISE 226G,PZA,DES-2020,DESINFECTANTE WISE 226G
163,LIM120,DESINFECTANTE EN AEROSOL WIESE,PZA,LIM102,TENEDOR C/100 PIEZAS
6455,LIMDES05ONE,DESENGRASANTE SERVICIO PESADO,GAL,LIMDES05ONE,DESENGRASANTE SERVICIO PESADO
34,LIMDES1ONE,DESENGRASANTE MULTIUSOS,GAL,LIMDES1ONE,DESENGRASANTE MULTIUSOS
1055,LIMDES3ONE,DESENGRASANTE 19 LTS,BID,LIMDES3ONE,DESENGRASANTE 19 LTS
343,LIMDES3ONE 08,DESENGRASANTE 08 19 LTS,BID,LIMDES3ONE 08,DESENGRASANTE 08 19 LTS
479,LIMDES1ONE 08,DESENGRASANTE 08,GAL,LIMDES1ONE 08,DESENGRASANTE 08
6874,14002,DESARMADOR PLANO 5/16X6MANGO DE ACETANO,PZA,14002,DESARMADOR PLANO 5/16X6  MANGO DE ACETANO
9545,ESP0220-M,DEDALES DE LATEX SIN TALCO TALLA M C/1440 VECTOR,PAQ,ESP0220-M,DEDALES DE LATEX SIN TALCO TALLA M C/1440 VECTOR
9544,ESP0220-L,DEDALES DE LATEX SIN TALCO TALLA L C/1440 VECTOR,PAQ,ESP0220-L,DEDALES DE LATEX SIN TALCO TALLA L C/1440 VECTOR
1550,ESP0230-M,DEDALES DE LATEX CON TALCO TALLA M C/1440 VECTOR,PAQ,ESP0230-M,DEDALES DE LATEX CON TALCO TALLA M C/1440 VECTOR
11567,ESP0230-L,DEDALES DE LATEX CON TALCO TALLA L C/1440 VECTOR,PAQ,ESP0220-L,DEDALES DE LATEX SIN TALCO TALLA L C/1440 VECTOR
357,22395,CUTTER PROFESIONAL CON ALMA METALICA 9 mm PRETUL,PZA,22395,CUTTER PROFESIONAL CON ALMA METALICA 9 mm PRETUL
358,22396,CUTTER PROFESIONAL CON ALMA METALICA 18 mm PRETUL,PZA,22396,CUTTER PROFESIONAL CON ALMA METALICA 18 mm PRETUL
355,16974,CUTTER PROFESIONAL CON ALMA METALICA 18 mm,PZA,16974,CUTTER PROFESIONAL CON ALMA METALICA 18 mm
3270,22395,CUTTER PROFECIONAL CON ALMA METALICA 9 mm PRETUL,PZA,22395,CUTTER PROFESIONAL CON ALMA METALICA 9 mm PRETUL
2610,16968,CUTTER PROFECIONAL CON ALMA METALICA 9 mm,PZA,16968,CUTTER PROFESIONAL CON ALMA METALICA 9 mm
6879,22396,CUTTER PROFECIONAL CON ALMA METALICA 18 mm PRETUL,PZA,22396,CUTTER PROFESIONAL CON ALMA METALICA 18 mm PRETUL
3268,16974,CUTTER PROFECIONAL CON ALMA METALICA 18 mm,PZA,16974,CUTTER PROFESIONAL CON ALMA METALICA 18 mm
1218,LIM103,CUCHARA C/100 PIEZAS,PAQ,LIM103,CUCHARA C/100 PIEZAS
6872,12355,CUBRENUCAS PARA CASCO CON REFLEJANTE,PAQ,12355,CUBRENUCAS PARA CASCO CON REFLEJANTE
66,RI-CZP-XL,CUBRE ZAPATO DE POLIPROPILENO AZUL XL C/1000,CAJ,RI-CZP-XL,CUBRE ZAPATO DE POLIPROPILENO AZUL XL C/1000
3191,00-1121P-GR,CUBRE CABELLO VERDE PLISADA 21 C/1000 TUFF GRIP,CAJ,00-1121P-GR,CUBRE CABELLO VERDE PLISADA 21 C/1000 TUFF GRIP
3208,CB-V-P-21,CUBRE CABELLO VERDE PLANA 21C/1000,PZA,CB-V-P-21,CUBRE CABELLO VERDE PLANA 21  C/1000
1725,00-1121P-R,CUBRE CABELLO ROJA PLISADA 21 C/1000,CAJ,00-1121P-R,CUBRE CABELLO ROJA PLISADA 21 C/1000
8990,RI-CBR-24,CUBRE CABELLO BLANCA REDONDA 24 C/1000,CAJ,RI-CBR-24,CUBRE CABELLO BLANCA REDONDA 24 C/1000
321,00-1121W-1000,CUBRE CABELLO BLANCA REDONDA 21 C/1000,CAJ,00-1121W-1000,CUBRE CABELLO BLANCA REDONDA 21 C/1000
1225,RI-CBP-24,CUBRE CABELLO BLANCA PLIZADA 24C/1000,CAJ,RI-CBP-24,CUBRE CABELLO BLANCA PLIZADA 24  C/1000
104,RI-CBP-21,CUBRE CABELLO BLANCA PLIZADA 21C/1000,CAJ,RI-CBP-21,CUBRE CABELLO BLANCA PLIZADA 21  C/1000
7787,RI-CB3P-N,CUBRE BOCADE POLIPROPILENO NEGRO PLIZADO 3 PLIEGOS C/50 PC,DIS,RI-CB3P-N,CUBRE BOCA DE POLIPROPILENO NEGRO PLIZADO 3 PLIEGOS C/50 PC
2594,RI-CB3P,CUBRE BOCADE POLIPROPILENO AZUL PLIZADO 3 PLIEGOS,PZA,RI-CB3P,CUBRE BOCA DE POLIPROPILENO AZUL PLIZADO 3 PLIEGOS
12,RI-CB3P,CUBRE BOCA DE POLIPROPILENO AZUL PLIZADO 3 PLIEGOS,PZA,RI-CB3P,CUBRE BOCA DE POLIPROPILENO AZUL PLIZADO 3 PLIEGOS
2356,RI-CB2P,CUBRE BOCA DE 2 PLIEGOS NEGRO,PZA,RI-CBP-24,CUBRE CABELLO BLANCA PLIZADA 24  C/1000
9445,00-0810,CUBRE BARBA DE POLIPROPILENO C/1000,CAJ,00-0810,CUBRE BARBA DE POLIPROPILENO C/1000
10914,GR-2,CUBETA DE GRASA NUMERO2 con 15.9Kg,CU,GR-2,CUBETA DE GRASA NUMERO  2 con 15.9Kg
1396,14278,CRISTAL PARA CARETA TRANSPARENTE,PZA,14278,CRISTAL PARA CARETA TRANSPARENTE
1394,14275,CRISTAL PARA CARETA,PZA,14275,CRISTAL PARA CARETA
73,25218,CREMA DESENGRASANTE PARA MANOS FAST ORANGE,GAL,25218,CREMA DESENGRASANTE PARA MANOS FAST ORANGE
4175,V-CT8X8,CONTENEDOR TERMICO 8X8 CON DIVICION C/200 PIEZA,CAJ,V-CT8X8,CONTENEDOR TERMICO 8X8 CON DIVICION C/200 PIEZA
6839,00-081024,COFIA TIPO NINJA HOOD BLANCO 24C/1000,CAJ,00-081024,COFIA TIPO NINJA HOOD BLANCO 24  C/1000
1756,CAF03,COFFEE MATE GRANDE,PZA,CAF03,COFFEE MATE GRANDE
33,LIMCLO1-ONE,CLORO INDUSTRIAL ONE CLEANER,GAL,LIMCLO1-ONE,CLORO INDUSTRIAL ONE CLEANER
675,LIMCLO3-ONE,CLORO INDUSTRIAL 19 LTS,BID,LIMCLO3-ONE,CLORO INDUSTRIAL 19 LTS
1026,LIMCLO2-ONE,CLORO INDUSTRIAL 10 LTS,GAR,LIMCLO2-ONE,CLORO INDUSTRIAL 10 LTS
3336,13979,CINTAROJAPELIGRO3x110 yds,PZA,13979,CINTA ROJA  PELIGRO  3x110 yds
2938,12578,CINTAAMARILLAPRECAUCION3x110 yds,ROL,257821,TAPE TRANSPARENTE 48X100M C/36 ROLLOS
57,258427,CINTA TRANSPARENTE 72MMX100M C/24 ROLLOS,CAJ,258427,CINTA TRANSPARENTE 72MMX100M C/24 ROLLOS
6778,258450,CINTA TRANSPARENTE 2x110 YDS C/36 ROLLOS DURASEAL,CAJ,258440,TAPE TRANSPARENTE 3x110 YDS C/24 ROLLOS DURASEAL
4198,12586,CINTA TAPE DEALTA TEMPERATURA,PZA,12586,CINTA TAPE DE ALTA TEMPERATURA
496,12586,CINTA TAPE DE ALTA TEMPERATURA,PZA,12586,CINTA TAPE DE ALTA TEMPERATURA
7984,ST-33-428,CINTA METRICA 8 MTS STANLY,PZA,ST-33-428,CINTA METRICA 8 MTS STANLY
361,30-615M,CINTA METRICA 5 MTS STANLY,PZA,30-615M,CINTA METRICA 5 MTS STANLY
495,12516,CINTA DE TEFLON1/2 USO INDUSTRIAL,ROL,12516,CINTA DE TEFLON1/2 USO INDUSTRIAL
748,120954-C,CINTA DE DUCTO GRIS 2X 60 YSD SHURT TAPE,ROL,120954-C,CINTA DE DUCTO GRIS 2  X 60 YSD SHURT TAPE
916,99T009G,CINTA DE DUCTO 2 X 60 YDS GRIS,ROL,99T009G,CINTA DE DUCTO 2 X 60 YDS GRIS
